iter	Passed	Remaining
0	35	53004
1	65	49178
2	82	41354
3	112	42001
4	133	39915
5	158	39491
6	178	38135
7	197	36920
8	220	36561
9	237	35456
10	282	38304
11	309	38433
12	332	38074
13	352	37390
14	369	36626
15	389	36128
16	408	35663
17	427	35177
18	449	35011
19	470	34850
20	492	34686
21	515	34665
22	537	34540
23	558	34356
24	580	34243
25	597	33850
26	620	33841
27	638	33551
28	658	33388
29	680	33327
30	704	33363
31	721	33112
32	741	32961
33	760	32806
34	780	32671
35	802	32640
36	822	32527
37	843	32448
38	865	32417
39	892	32591
40	918	32682
41	940	32635
42	968	32812
43	999	33078
44	1028	33257
45	1068	33759
46	1122	34708
47	1367	41359
48	1401	41498
49	1424	41306
50	1458	41451
51	1483	41302
52	1522	41564
53	1561	41817
54	1592	41832
55	1616	41691
56	1639	41501
57	1665	41408
58	1689	41267
59	1714	41148
60	1736	40969
61	1762	40886
62	1791	40853
63	1821	40859
64	1847	40779
65	1870	40649
66	1896	40554
67	1917	40384
68	1953	40514
69	1983	40518
70	2012	40503
71	2042	40518
72	2070	40469
73	2102	40513
74	2133	40529
75	2166	40585
76	2197	40611
77	2226	40584
78	2252	40516
79	2289	40642
80	2321	40666
81	2361	40835
82	2399	40963
83	2439	41128
84	2475	41207
85	2509	41266
86	2541	41277
87	2577	41352
88	2610	41383
89	2644	41424
90	2677	41453
91	2715	41563
92	2749	41600
93	2785	41658
94	2816	41659
95	2849	41681
96	2879	41645
97	2917	41738
98	2952	41776
99	2986	41815
100	3022	41865
101	3056	41897
102	3096	41994
103	3129	42009
104	3165	42060
105	3204	42139
106	3241	42198
107	3275	42217
108	3311	42259
109	3356	42416
110	3410	42678
111	3455	42825
112	3495	42910
113	3541	43062
114	3575	43056
115	3610	43074
116	3643	43067
117	3680	43110
118	3717	43137
119	3756	43196
120	3795	43253
121	3832	43286
122	3868	43303
123	3904	43322
124	3948	43429
125	3990	43518
126	4023	43499
127	4059	43510
128	4096	43537
129	4134	43569
130	4171	43591
131	4209	43621
132	4246	43643
133	4282	43654
134	4319	43676
135	4364	43773
136	4421	43991
137	4460	44022
138	4496	44022
139	4532	44032
140	4567	44025
141	4605	44043
142	4646	44095
143	4683	44099
144	4718	44095
145	4754	44088
146	4789	44084
147	4825	44081
148	4865	44115
149	4903	44130
150	4938	44122
151	4988	44241
152	5024	44233
153	5058	44212
154	5098	44242
155	5135	44241
156	5170	44228
157	5206	44220
158	5241	44206
159	5277	44201
160	5317	44228
161	5353	44212
162	5403	44323
163	5448	44384
164	5486	44393
165	5527	44420
166	5569	44453
167	5605	44441
168	5644	44453
169	5680	44442
170	5717	44434
171	5758	44464
172	5793	44442
