iter	Passed	Remaining
0	60	90223
1	67	50850
2	75	37880
3	84	31543
4	91	27497
5	99	24837
6	107	22879
7	116	21694
8	123	20539
9	131	19545
10	139	18825
11	146	18159
12	157	18017
13	173	18400
14	185	18364
15	199	18539
16	214	18750
17	222	18286
18	226	17645
19	230	17051
20	234	16504
21	239	16061
22	243	15661
23	249	15360
24	254	14998
25	266	15130
26	276	15103
27	285	15026
28	294	14959
29	299	14670
30	303	14394
31	308	14143
32	312	13902
33	317	13668
34	321	13450
35	327	13324
36	331	13123
37	336	12928
38	340	12769
39	345	12610
40	350	12468
41	354	12313
42	359	12195
43	365	12089
44	369	11958
45	374	11830
46	378	11695
47	382	11578
48	387	11484
49	392	11373
50	396	11257
51	400	11148
52	406	11105
53	411	11014
54	415	10908
55	419	10806
56	424	10748
57	428	10665
58	434	10600
59	439	10544
60	445	10498
61	449	10433
62	454	10364
63	459	10314
64	471	10405
65	475	10334
66	486	10406
67	497	10470
68	514	10678
69	521	10644
70	526	10590
71	530	10520
72	535	10468
73	539	10405
74	545	10371
75	550	10311
76	554	10247
77	558	10182
78	562	10117
79	568	10089
80	572	10030
81	577	9986
82	582	9941
83	586	9890
84	591	9845
85	595	9786
86	600	9745
87	605	9708
88	611	9695
89	615	9647
90	620	9613
91	626	9595
92	631	9557
93	635	9510
94	640	9465
95	644	9421
96	649	9388
97	655	9374
98	666	9428
99	693	9705
100	700	9703
101	712	9768
102	719	9752
103	729	9796
104	734	9764
105	739	9725
106	744	9694
107	748	9651
108	754	9623
109	759	9594
110	763	9559
111	768	9529
112	774	9507
113	780	9493
114	785	9462
115	790	9425
116	795	9397
117	799	9363
118	803	9322
119	808	9300
120	813	9270
121	818	9248
122	823	9221
123	827	9186
124	832	9160
125	842	9188
126	847	9162
127	856	9180
128	863	9177
129	869	9165
130	874	9136
131	879	9111
132	884	9095
133	889	9067
134	893	9036
135	898	9006
136	902	8980
137	906	8948
138	910	8917
139	915	8893
140	920	8867
141	924	8837
142	928	8813
143	932	8785
144	937	8762
145	944	8763
146	949	8741
147	953	8713
148	958	8693
149	962	8665
150	973	8701
151	986	8748
152	997	8780
